Id;Default
0;SMC_NO_ERROR
1;SMC_DI_GENERAL_COMMUNICATION_ERROR
2;SMC_DI_AXIS_ERROR
3;SMC_DI_FIELDBUS_LOST_SYNCRONICITY
10;SMC_DI_SWLIMITS_EXCEEDED
11;SMC_DI_HWLIMITS_EXCEEDED
12;SMC_DI_LINEAR_AXIS_OUTOFRANGE
13;SMC_DI_HALT_OR_QUICKSTOP_NOT_SUPPORTED
14;SMC_DI_VOLTAGE_DISABLED
15;SMC_DI_IRREGULAR_ACTPOSITION
16;SMC_DI_POSITIONLAGERROR
17;SMC_DI_HOMING_ERROR
18;SMC_DI_LICENSING_ERROR
19;SMC_DI_DRIVE_LIMIT_ACTIVE
20;SMC_REGULATOR_OR_START_NOT_SET
21;SMC_WRONG_CONTROLLER_MODE
25;SMC_INVALID_ACTION_FOR_LOGICAL
27;SMC_AXIS_IS_NOT_OPERATIONAL
28;SMC_AXIS_NOT_FOLLOWING_SETVALUES
30;SMC_FB_WASNT_CALLED_DURING_MOTION
31;SMC_AXIS_IS_NO_AXIS_REF
32;SMC_AXIS_REF_CHANGED_DURING_OPERATION
33;SMC_FB_ACTIVE_AXIS_DISABLED
34;SMC_AXIS_NOT_READY_FOR_MOTION
35;SMC_AXIS_ERROR_DURING_MOTION
36;SMC_FB_CALLED_FROM_WRONG_TASK
37;SMC_INVALID_DISTRIBUTED_CLOCKS_SETTINGS
38;SMC_INVALID_TIMESTAMP
40;SMC_VD_MAX_VELOCITY_EXCEEDED
41;SMC_VD_MAX_ACCELERATION_EXCEEDED
42;SMC_VD_MAX_DECELERATION_EXCEEDED
50;SMC_3SH_INVALID_VELACC_VALUES
51;SMC_3SH_MODE_NEEDS_HWLIMIT
60;SMC_FRC_NO_FREE_HANDLE
65;SMC_MAC_INITIALIZATION_FAILED
66;SMC_MAC_INVALID_TASK_HANDLE
67;SMC_MAC_TOO_MANY_TASKS
68;SMC_MAC_ATOMIC_ADD_FAILED
69;SMC_SDO_INVALID_DATALENGTH
70;SMC_SCM_NOT_SUPPORTED
71;SMC_SCM_AXIS_IN_WRONG_STATE
72;SMC_SCM_INTERRUPTED
75;SMC_ST_WRONG_CONTROLLER_MODE
80;SMC_RAG_ERROR_DURING_STARTUP
81;SMC_RAG_ERROR_AXIS_NOT_INITIALIZED
85;SMC_PP_WRONG_AXIS_TYPE
86;SMC_PP_NUMBER_OF_ABSOLUTE_BITS_INVALID
87;SMC_NEGATIVE_MODULO_PERIOD
90;SMC_CGR_ZERO_VALUES
91;SMC_CGR_DRIVE_POWERED
92;SMC_CGR_INVALID_POSPERIOD
93;SMC_CGR_POSPERIOD_NOT_INTEGRAL
94;SMC_FRACTION_TECH_UNITS_INVALID
95;SMC_SCALING_PARAMETERS_NOT_POSITIVE
96;SMC_SCALING_SETTINGS_TOO_LARGE
97;SMC_MODULO_PERIOD_TOO_MANY_DIGITS
110;SMC_P_FTASKCYCLE_EMPTY
120;SMC_R_NO_ERROR_TO_RESET
121;SMC_R_DRIVE_DOESNT_ANSWER
122;SMC_R_ERROR_NOT_RESETTABLE
123;SMC_R_DRIVE_DOESNT_ANSWER_IN_TIME
124;SMC_R_CANNOT_RESET_COMMUNICATION_ERROR
130;SMC_RP_PARAM_UNKNOWN
131;SMC_RP_REQUESTING_ERROR
132;SMC_RP_DRIVE_PARAMETER_NOT_MAPPED
133;SMC_RP_PARAM_CONVERSION_ERROR
140;SMC_WP_PARAM_INVALID
141;SMC_WP_SENDING_ERROR
142;SMC_WP_DRIVE_PARAMETER_NOT_MAPPED
143;SMC_WP_PARAM_CONVERSION_ERROR
170;SMC_H_AXIS_WASNT_STANDSTILL
171;SMC_H_AXIS_DIDNT_START_HOMING
172;SMC_H_AXIS_DIDNT_ANSWER
173;SMC_H_ERROR_WHEN_STOPPING
174;SMC_H_AXIS_IN_ERRORSTOP
175;SMC_H_SET_OP_MODE_HOMING_FAILED
176;SMC_H_CHECK_SET_OP_MODE_HOMING_FAILED
177;SMC_H_PRE_HOMING_CHECKS_FAILED
180;SMC_MS_UNKNOWN_STOPPING_ERROR
181;SMC_MS_INVALID_ACCDEC_VALUES
182;SMC_MS_DIRECTION_NOT_APPLICABLE
183;SMC_MS_AXIS_IN_ERRORSTOP
184;SMC_BLOCKING_MC_STOP_WASNT_CALLED
185;SMC_MS_AXIS_ALREADY_STOPPING
200;SMC_UNKNOWN_TASK_INTERVAL
201;SMC_MA_INVALID_VELACC_VALUES
202;SMC_MA_INVALID_DIRECTION
226;SMC_MR_INVALID_VELACC_VALUES
227;SMC_MR_INVALID_DIRECTION
231;SMC_OVR_INVALID_OVERRIDE_FACTORS
235;SMC_INVALID_AXIS_FORECAST
236;SMC_AXIS_FORECAST_NOT_SUPPORTED
251;SMC_MAD_INVALID_VELACC_VALUES
252;SMC_MAD_INVALID_DIRECTION
276;SMC_MSI_INVALID_VELACC_VALUES
277;SMC_MSI_INVALID_DIRECTION
278;SMC_MSI_INVALID_EXECUTION_ORDER
300;SMC_LOGICAL_NO_REAL_AXIS
301;SMC_MV_INVALID_ACCDEC_VALUES
302;SMC_MV_DIRECTION_NOT_APPLICABLE
325;SMC_PP_ARRAYSIZE
326;SMC_PP_STEP0MS
350;SMC_VP_ARRAYSIZE
351;SMC_VP_STEP0MS
375;SMC_AP_ARRAYSIZE
376;SMC_AP_STEP0MS
400;SMC_TP_TRIGGEROCCUPIED
401;SMC_TP_COULDNT_SET_WINDOW
402;SMC_TP_COMM_ERROR
403;SMC_TRIGGER_OUT_OF_RANGE
404;SMC_LATCH_IN_CONTROLLER_NOT_SUPPORTED
410;SMC_AT_TRIGGERNOTOCCUPIED
426;SMC_MCR_INVALID_VELACC_VALUES
427;SMC_MCR_INVALID_DIRECTION
451;SMC_MCA_INVALID_VELACC_VALUES
452;SMC_MCA_INVALID_DIRECTION
453;SMC_MCA_DIRECTION_NOT_APPLICABLE
475;SMC_SDL_INVALID_AXIS_STATE
476;SMC_SDL_INVALID_VELACC_VALUES
480;SMC_SACF_INVALID_DYNAMIC_FACTOR
501;SMC_INVALID_VELACCJERK_VALUES
502;SMC_INVALID_DIRECTION
600;SMC_CR_NO_TAPPETS_IN_CAM
601;SMC_CR_TOO_MANY_TAPPETS
602;SMC_CR_MORE_THAN_32_ACCESSES
625;SMC_CI_NO_CAM_SELECTED
626;SMC_CI_MASTER_OUT_OF_SCALE
627;SMC_CI_RAMPIN_NEEDS_VELACC_VALUES
628;SMC_CI_SCALING_INCORRECT
629;SMC_CI_TOO_MANY_TAPPETS_PER_CYCLE
630;SMC_CI_MORE_THAN_32_ACCESSES
631;SMC_CI_MASTER_SYNC_POSITION_OUT_OF_SCALE
632;SMC_CI_AVOID_REVERSAL_FOR_FINITE_AXIS
633;SMC_CI_MASTERSTARTDISTANCE_MUST_BE_ZERO_BUFFERED
634;SMC_CI_CAM_CHANGED_DURING_RAMP_IN_DIST
640;SMC_CB_NOT_IMPLEMENTED
675;SMC_GI_RATIO_DENOM
676;SMC_GI_INVALID_ACC
677;SMC_GI_INVALID_DEC
678;SMC_GI_MASTER_REGULATOR_CHANGED
679;SMC_GI_INVALID_JERK
725;SMC_PH_INVALID_VELACCDEC
726;SMC_PH_ROTARYAXIS_PERIOD0
727;SMC_MASTER_REGULATOR_CHANGED
750;SMC_NO_CAM_REF_TYPE
751;SMC_CAM_TABLE_DOES_NOT_COVER_MASTER_SCALE
752;SMC_CAM_TABLE_EMPTY_MASTER_RANGE
753;SMC_CAM_TABLE_INVALID_MASTER_MINMAX
754;SMC_CAM_TABLE_INVALID_SLAVE_MINMAX
755;SMC_CAM_INVALID_ELEMENT_COUNT
756;SMC_CAM_UNKNOWN_SEGMENT_TYPE
757;SMC_SAFE_CAM_REF_ONLY_ONE_ACCESS_ALLOWED_AT_A_TIME
758;SMC_CAM_REF_INSUFFICIENT_MEMORY
775;SMC_GIP_MASTER_DIRECTION_CHANGE
776;SMC_GIP_SLAVE_REVERSAL_CANNOT_BE_AVOIDED
777;SMC_GIP_AVOID_REVERSAL_FOR_FINITE_AXIS
778;SMC_GIP_MASTERSTARTDISTANCE_MUST_BE_ZERO_BUFFERED
779;SMC_GIP_CANNOT_START_SYNC
780;SMC_RAMP_IN_MASTER_DIRECTION_CHANGED
781;SMC_RAMP_IN_SLAVE_REVERSAL_CANNOT_BE_AVOIDED
790;SMC_DCS_ON_OFF_COMPENSATION_REQUIRES_FORECAST
791;SMC_DCS_ON_OFF_COMPENSATION_EXCEEDS_FORECAST
792;SMC_DCS_SWITCHES_MUST_BE_ORDERED_BY_POSITION
793;SMC_DCS_SWITCHES_MUST_NOT_OVERLAP
794;SMC_DCS_INVALID_TRACK_NUMBER
795;SMC_DCS_MAX_SWITCHES_PER_TRACK_EXCEEDED
796;SMC_DCS_SWITCH_POSITION_OUTSIDE_MODULO_PERIOD
797;SMC_DCS_CAM_SWITCH_POINTER_NOT_SET
800;SMC_BC_BL_TOO_BIG
825;SMC_QPROF_DIVERGES
826;SMC_QPROF_INVALID_PARAMETER
827;SMC_QPROF_NO_RESULT
828;SMC_QPROF_INVALID_NEW_LBD
829;SMC_QPROF_BAD_NEGOTIATION
830;SMC_QPROF_INVALID_INTERVAL
831;SMC_QPROF_NOT_ENOUGH_PHASES
832;SMC_TG_INTERNAL_ERROR
850;SMC_SRT_NOT_STANDSTILL_OR_POWEROFF
851;SMC_SRT_INVALID_RAMPTYPE
852;SMC_SMT_NOT_STANDSTILL_OR_POWEROFF
853;SMC_SMT_INVALID_MOVEMENTTYPE_OR_POSITIONPERIOD
854;SMC_SMT_AXIS_NOT_VIRTUAL
1000;SMC_NO_LICENSE
1001;SMC_INT_VEL_ZERO
1002;SMC_INT_NO_STOP_AT_END
1003;SMC_INT_DATA_UNDERRUN
1004;SMC_INT_VEL_NONZERO_AT_STOP
1005;SMC_INT_TOO_MANY_RECURSIONS
1006;SMC_INT_NO_CHECKVELOCITIES
1007;SMC_INT_PATH_EXCEEDED
1008;SMC_INT_VEL_ACC_DEC_ZERO
1009;SMC_INT_DWIPOTIME_ZERO
1010;SMC_INT_JERK_NONPOSITIVE
1011;SMC_INT_QPROF_DIVERGES
1012;SMC_INT_INVLALID_VELOCITY_MODE
1013;SMC_INT_TOO_MANY_AXES_INTERPOLATED
1014;SMC_INT_DEGENERATE_SEGMENT
1015;SMC_HIGH_CURVATURE_SPLINE
1050;SMC_INT2DIR_BUFFER_TOO_SMALL
1051;SMC_INT2DIR_PATH_FITS_NOT_IN_QUEUE
1070;SMC_XINT_INVALID_DIRECTION
1071;SMC_XINT_NOINTERSECTION
1080;SMC_WAR_INT_OUTQUEUE_TOO_SMALL
1081;SMC_WAR_END_VELOCITIES_INCORRECT
1100;SMC_CV_ACC_DEC_VEL_NONPOSITIVE
1120;SMC_CA_INVALID_ACCDEC_VALUES
1130;SMC_TOK_INCOMPLETE_TOKEN_AT_END_OF_INPUT
1131;SMC_TOK_NOT_A_VALID_TOKEN
1132;SMC_TOK_AMBIGUOUS_INPUT
1133;SMC_TOK_STRING_TOO_LONG_FOR_TOKEN
1134;SMC_TOK_INVALID_NUMLIT
1150;SMC_PRS_FUNC_DECL_TOO_FEW_ARGUMENTS
1151;SMC_PRS_FUNC_DECL_TOO_MANY_ARGUMENTS
1152;SMC_PRS_FUNC_DECL_WRONG_ARGUMENT_TYPE
1153;SMC_PRS_LOCAL_VAR_NOT_FOUND
1154;SMC_PRS_INVALID_STRING
1155;SMC_PRS_TOO_MANY_CLOSING_BRACKETS
1156;SMC_PRS_TOO_MANY_OPENING_BRACKETS
1157;SMC_PRS_NO_SUCH_INFIX_OPERATOR
1158;SMC_PRS_NO_SUCH_PREFIX_OPERATOR
1159;SMC_PRS_OPERATOR_INVALID_PRECEDENCE
1160;SMC_PRS_NOT_A_TERM
1161;SMC_PRS_EXPRESSION_INVALID_SEQUENCE
1162;SMC_PRS_TOO_MANY_TERMS
1163;SMC_PRS_STACK_OVERFLOW
1164;SMC_PRS_VAR_NAME_ALREADY_USED
1165;SMC_PRS_INCOMPLETE_SENTENCE_IN_TOKEN_QUEUE
1167;SMC_PRS_TOO_MANY_SUBPROGRAMS
1168;SMC_PRS_TOO_MANY_SUBPROGRAM_PARAMETERS
1169;SMC_PRS_SUBPROGRAM_LOOKUP_FAILED
1170;SMC_PRS_VAR_NOT_FOUND
1171;SMC_PRS_TOKEN_TYPE_UNKNOWN
1172;SMC_PRS_GOT_NO_TERM
1173;SMC_PRS_INVALID_VAR_TYPE
1174;SMC_PRS_UNEXPECTED_TOKEN
1175;SMC_PRS_ID3_EXPECTED
1176;SMC_PRS_ID_TOO_LONG
1177;SMC_PRS_GADDRESS_EXPECTED
1178;SMC_PRS_NWORD_EXPECTED
1179;SMC_PRS_NWORD_INVALID_SENTENCE_NUMBER
1180;SMC_PRS_NWORD_SENTENCE_NUMBER_NO_NUMBER_LITERAL
1181;SMC_PRS_USE_OF_RESERVED_KEYWORD
1182;SMC_PRS_SUBPROGRAMS_SIGNATURE_MISMATCH
1183;SMC_PRS_INITIAL_VALUE_HAS_WRONG_TYPE
1184;SMC_PRS_TOO_MANY_LOCAL_VARIABLES
1185;SMC_PRS_SUBPROG_MUST_BE_FIRST_SENTENCE
1186;SMC_PRS_ONLY_ONE_SUBPROGRAM_PER_FILE_ALLOWED
1187;SMC_PRS_LET_AFTER_REGULAR_SENTENCE
1188;SMC_PRS_UNMATCHED_END_SUBPROGRAM
1189;SMC_PRS_UNEXPECTED_TOKENS_AFTER_SUBPROGRAM
1190;SMC_PRS_MISSING_END_SUBPROGRAM
1191;SMC_PRS_USE_OF_KEYWORD
1192;SMC_PRS_DYNCALL_EXPECTED_SUBNAME_EXP
1193;SMC_PRS_DYNCALL_EXPECTED_SUBNAME_TYPE_STRING
1200;SMC_DEC_ACC_TOO_LITTLE
1201;SMC_DEC_RET_TOO_LITTLE
1202;SMC_DEC_OUTQUEUE_RAN_EMPTY
1203;SMC_DEC_JUMP_TO_UNKNOWN_LINE
1204;SMC_DEC_INVALID_SYNTAX
1205;SMC_DEC_3DMODE_OBJECT_NOT_SUPPORTED
1206;SMC_DEC_NEGATIVE_PERIOD
1207;SMC_DEC_DIMENSIONS_EXCLUSIVE_AU
1208;SMC_DEC_DIMENSIONS_EXCLUSIVE_BV
1209;SMC_DEC_DIMENSIONS_EXCLUSIVE_CW
1210;SMC_DEC_DCS_NOT_ALL_OF_ABC_GIVEN
1211;SMC_DEC_DCS_2D_NOT_IN_XY_PLANE
1212;SMC_DEC_CIRCLE_NON_UNIFORM_SCALING
1213;SMC_DEC_ROTATION_AFFECTS_SCALING
1214;SMC_DEC_DCS_NOT_ALL_OF_IJK_GIVEN
1250;SMC_IPR_LOCAL_VAR_UNKNOWN_TYPE
1251;SMC_IPR_LVALUE_WRONG_TYPE
1252;SMC_IPR_EVAL_STACK_OVERFLOW
1253;SMC_IPR_NOT_A_NUMBER
1254;SMC_IPR_DIVISION_BY_ZERO
1255;SMC_IPR_INVALID_SCALING_FACTORS
1256;SMC_IPR_INTERPRETER_STACK_IMBALANCE
1257;SMC_IPR_INTERPRETER_STACK_OVERFLOW
1258;SMC_IPR_INVALID_INTERPRETER_STACK_BUFFER
1259;SMC_IPR_BUFFER_TOO_SMALL
1280;SMC_DNCCS_NO_DATA
1281;SMC_DNCCS_TOO_MANY_CALLSTACKS
1282;SMC_DNCCS_INVALID_PROGRAM_INDEX
1283;SMC_DNCCS_TOO_MANY_PROGRAMS
1284;SMC_DNCCS_WRONG_TASK
1300;SMC_GCV_BUFFER_TOO_SMALL
1301;SMC_GCV_BUFFER_WRONG_TYPE
1302;SMC_GCV_UNKNOWN_IPO_LINE
1400;SMC_CNC_INTERNAL_ERROR
1401;SMC_PATH_MAX_HPOINTS_EXCEEDED
1410;SMC_TRC_G75_NOT_ALLOWED
