Count;T2-T1;T3-T2;T4-T3;T4-T1
3095;-301938;497;302451;1010
3105;-276761;503;277257;999
3115;-255449;497;255954;1002
3125;-237188;500;237688;1000
3135;-221355;498;221859;1002
3145;-207507;506;208002;1001
3155;-195287;500;195787;1000
3165;-184423;500;184923;1000
3175;-174700;497;175204;1001
3185;-165957;505;166452;1000
3195;-158041;500;158544;1003
3205;-150850;501;151347;998
3215;-144274;496;144778;1000
3225;-138255;506;138750;1001
3235;-132715;499;133217;1001
3245;-127602;502;128101;1001
3255;-122868;497;123367;996
3265;-118469;507;118963;1001
3275;-114375;499;114876;1000
3285;-110554;501;111054;1001
3295;-106977;497;107483;1003
3305;-103631;506;104124;999
3315;-100481;500;100982;1001
3325;-97517;499;98019;1001
3335;-94722;497;95227;1002
3345;-92087;504;92584;1001
3355;-89591;501;90091;1001
3365;-87230;500;87728;998
3375;-84983;497;85485;999
3385;-82854;505;83354;1005
3395;-80826;500;81333;1007
3405;-78899;499;79398;998
3415;-77053;497;77556;1000
3425;-75301;507;75793;999
3435;-73619;500;74120;1001
3445;-72015;498;72516;999
3455;-70473;498;70976;1001
3465;-69002;505;69498;1001
3475;-67589;499;68090;1000
3485;-66234;499;66735;1000
3495;-64927;498;65431;1002
3505;-63677;505;64171;999
3515;-62469;500;62973;1004
3525;-61308;499;61810;1001
3535;-60186;497;60689;1000
3545;-59109;506;59603;1000
3555;-58068;500;58573;1005
3565;-57064;501;57563;1000
3575;-56087;496;56592;1001
3585;-55152;505;55648;1001
3595;-54243;499;54747;1003
3605;-53367;500;53866;999
3615;-52512;497;53015;1000
3625;-51690;505;52185;1000
3635;-50890;498;51393;1001
3645;-50115;499;50617;1001
3655;-49362;499;49864;1001
3665;-48633;504;49130;1001
3675;-47926;500;48427;1001
3685;-47237;498;47740;1001
3695;-46566;497;47074;1005
3705;-45922;506;46414;998
3715;-45286;500;45788;1002
3725;-44670;498;45172;1000
3735;-44070;498;44572;1000
3745;-43490;506;43984;1000
3755;-42920;499;43422;1001
3765;-42367;499;42870;1002
3775;-41826;498;42328;1000
3785;-41303;505;41798;1000
3795;-40787;498;41292;1003
3805;-40290;501;40788;999
3815;-39796;496;40301;1001
3825;-39324;505;39819;1000
3835;-38858;499;39360;1001
3845;-38404;500;38904;1000
3855;-37948;489;38460;1001
3865;-37524;510;38014;1000
3875;-37098;499;37600;1001
3885;-36684;500;37185;1001
3895;-36277;497;36781;1001
3905;-35883;504;36378;999
3915;-35494;500;35995;1001
3925;-35113;500;35614;1001
3935;-34739;498;35244;1003
3945;-34377;504;34874;1001
3955;-34021;500;34521;1000
3965;-33671;500;34171;1000
3975;-33326;498;33828;1000
3985;-32992;505;33488;1001
3995;-32662;504;33161;1003
4005;-32342;498;32843;999
4015;-32022;497;32528;1003
4025;-31713;504;32211;1002
4035;-31409;500;31910;1001
4045;-31111;499;31614;1002
4055;-30813;497;31317;1001
4065;-30529;505;31025;1001
4075;-30246;499;30748;1001
4085;-29970;500;30471;1001
4095;-29693;496;30199;1002
4105;-29433;504;29927;998
4115;-29167;500;29669;1002
4125;-28909;500;29410;1001
4135;-28646;490;29157;1001
4145;-28407;505;28903;1001
4155;-28161;499;28663;1001
4165;-27921;500;28423;1002
4175;-27683;497;28185;999
4185;-27451;507;27945;1001
4195;-27222;500;27724;1002
4205;-26997;498;27498;999
4215;-26775;499;27276;1000
4225;-26558;506;27053;1001
4235;-26343;500;26844;1001
4245;-26132;500;26633;1001
4255;-25923;498;26426;1001
4265;-25719;506;26214;1001
4275;-25520;500;26020;1000
4285;-25321;500;25821;1000
4295;-25123;497;25627;1001
4305;-24933;504;25429;1000
4315;-24744;500;25245;1001
4325;-24558;500;25058;1000
4335;-24376;497;24877;998
4345;-24192;504;24689;1001
4355;-24014;500;24515;1001
4365;-23839;500;24339;1000
4375;-23662;497;24165;1000
4385;-23494;505;23990;1001
4395;-23326;500;23829;1003
4405;-23162;500;23661;999
4415;-22992;496;23497;1001
4425;-22835;506;23330;1001
4435;-22676;500;23176;1000
4445;-22519;500;23019;1000
4455;-22363;496;22864;997
4465;-22210;502;22709;1001
4475;-22058;499;22560;1001
4485;-21911;500;22412;1001
4495;-21762;497;22266;1001
4505;-21622;504;22117;999
4515;-21478;501;21977;1000
4525;-21336;499;21841;1004
4535;-21193;497;21697;1001
4545;-21058;506;21553;1001
4555;-20924;500;21425;1001
4565;-20788;498;21291;1001
4575;-20653;496;21158;1001
4585;-20525;506;21020;1001
4595;-20398;501;20899;1002
4605;-20271;499;20772;1000
4615;-20140;496;20645;1001
4625;-20020;506;20514;1000
4635;-19897;501;20397;1001
4645;-19774;499;20276;1001
4655;-19652;497;20155;1000
4665;-19538;504;20034;1000
4675;-19419;499;19921;1001
4685;-19305;500;19805;1000
4695;-19187;496;19692;1001
4705;-19079;507;19571;999
4715;-18965;499;19466;1000
4725;-18853;498;19356;1001
4735;-18742;498;19246;1002
4745;-18638;507;19132;1001
4755;-18530;499;19031;1000
4765;-18426;500;18926;1000
4775;-18318;496;18822;1000
4785;-18218;507;18712;1001
4795;-18116;501;18618;1003
4805;-18018;500;18516;998
4815;-17916;497;18416;997
4825;-17816;506;18311;1001
4835;-17720;500;18221;1001
4845;-17622;499;18124;1001
4855;-17524;499;18026;1001
4865;-17433;504;17929;1000
4875;-17338;500;17839;1001
4885;-17246;500;17747;1001
4895;-17151;497;17656;1002
4905;-17065;503;17561;999
4915;-16974;499;17476;1001
4925;-16886;500;17387;1001
4935;-16793;496;17298;1001
4945;-16712;505;17207;1000
4955;-16624;500;17125;1001
4965;-16539;501;17039;1001
4975;-16451;496;16956;1001
4985;-16373;504;16869;1000
4995;-16288;500;16791;1003
5005;-16208;500;16707;999
5015;-16119;494;16627;1002
5025;-16046;506;16541;1001
5035;-15967;500;16467;1000
5045;-15888;500;16388;1000
5055;-15805;496;16310;1001
5065;-15730;504;16227;1001
5075;-15655;501;16155;1001
5085;-15580;500;16081;1001
5095;-15502;497;16007;1002
